	Date	Twitter Inc.	Apple Inc.	Facebook Inc.	NVIDIA Corp	Amazon.com Inc	Microsoft Corp
68	2016-02-17	17.46	95.6751135273	103.47	27.4892460868	525.0	52.049030863
69	2016-02-16	16.36	97.5238119603	105.1992	26.8233822084	534.1	50.7284430902
70	2016-02-12	15.88	95.9683210745	101.5	25.5711605862	521.1	49.7750047138
71	2016-02-11	14.31	93.4189063	102.01	25.143815112	507.08	48.9931260866
72	2016-02-10	14.98	93.1306683722	101.91	25.2730125809	503.82	49.012845598
73	2016-02-09	14.4	93.6972049888	101.0	25.332642182	490.48	48.5888761028
74	2016-02-08	14.9	94.4128301887	99.54	25.0643089772	482.07	48.7170529269
75	2016-02-05	15.72	94.4327086665	99.75	26.2668392652	488.1	49.4565346046
76	2016-02-04	16.91	93.4487240166	104.069	28.0358507632	502.13	51.2707296539
77	2016-02-03	16.56	96.0130476495	110.49	28.0259124963	536.26	51.4284857451
78	2016-02-02	16.08	95.2518239398	112.69	27.8867767605	531.07	52.2567052241
79	2016-02-01	17.91	93.4031377875	114.61	29.119121849	552.1	53.9427234493
80	2016-01-29	16.8	95.3309121174	115.03	29.1091835822	574.81	54.317394166
81	2016-01-28	16.49	95.9784465718	112.21	27.8768384937	587.0	51.3249583102
82	2016-01-27	16.78	93.0175829216	109.11	28.1849247658	635.35	50.5016687091
83	2016-01-26	17.01	92.3759800805	94.45	28.5228258385	583.35	51.4383455008
84	2016-01-25	17.02	98.8503360222	97.34	28.2346161	601.25	51.0636747841
85	2016-01-22	17.84	98.2769467343	97.01	28.2743691674	596.53	51.5468028136
86	2016-01-21	17.83	100.264037197	97.94	27.6283818226	596.38	49.7720467871
87	2016-01-20	17.38	95.2023938287	94.16	27.3103572837	575.02	50.0776992139
88	2016-01-19	16.69	95.7223985967	94.35	27.161283281	571.77	49.8509248327
89	2016-01-15	17.94	95.5582906281	95.26	26.9327031436	574.48	50.1960162823
90	2016-01-14	19.0	95.9141874275	94.88	28.4930110379	569.71	52.3651625369
91	2016-01-13	18.68	98.3856929786	98.37	29.0793687817	593.0	50.9157784486
92	2016-01-12	19.62	96.2611868068	95.44	29.9936893312	581.81	52.029930843
93	2016-01-11	19.65	98.8206779556	99.37	29.496775989	617.89	51.566522325
94	2016-01-08	19.98	97.4069767803	97.5	29.440127868	617.74	51.5961015921
95	2016-01-07	20.26	95.8548712942	97.33	30.0930719996	607.05	51.4383455008
96	2016-01-06	21.39	95.3506841618	97.92	31.3353553549	607.94	53.2919795729
97	2016-01-05	21.92	99.5522435987	102.97	32.6869596455	632.65	54.2779551432
98	2016-01-04	22.56	101.543288471	102.73	32.090663635	633.79	53.7800374802
99	2015-12-31	23.14	104.035554668	102.02	32.7565275134	636.25	54.7019246384
100	2015-12-30	22.23	104.060269724	104.66	33.1838729877	675.89	55.5202843617
101	2015-12-29	22.47	106.096790298	106.22	33.4720827261	689.07	55.7569184986
102	2015-12-28	22.53	107.500605451	107.26	32.9354163166	693.97	55.1653331564
103	2015-12-24	22.97	105.602489188	105.93	32.9652311171	675.25	54.8892599968
104	2015-12-23	22.67	106.798697875	105.02	32.8509410484	662.79	55.0371563323
105	2015-12-22	22.56	107.381973185	104.63	32.7267127129	663.54	54.5737478143
106	2015-12-21	22.14	106.007816098	105.51	32.691928779	663.15	54.0314612506
107	2015-12-18	22.99	106.10667632	104.783	31.961466166	664.51	53.3708576185
108	2015-12-17	23.31	104.692975145	104.04	32.468317775	664.74	54.9188392639
109	2015-12-16	24.3	107.737869984	106.22	32.9652311171	670.65	55.3428087591
110	2015-12-15	23.95	110.06899402	106.79	32.7664657803	675.77	54.4258514787
111	2015-12-14	24.92	109.230659337	104.55	32.3689351066	658.64	54.3666929445
112	2015-12-11	24.84	111.197977756	104.66	32.2894289718	657.91	53.3018393286
113	2015-12-10	25.91	111.88999931	102.12	32.7764040471	640.15	54.4948697686
114	2015-12-09	24.31	114.845919949	105.42	32.5080708424	662.32	54.2089368533
115	2015-12-08	24.99	114.302188728	104.6	33.352823524	664.79	55.0075770652
116	2015-12-07	24.46	116.882440523	106.49	32.9056015161	677.33	55.0272965766
117	2015-12-04	25.02	116.931870634	105.61	33.541650594	669.83	55.1258941336
118	2015-12-03	25.9	117.673322299	106.18	32.2297993708	672.64	53.4497356642
119	2015-12-02	25.4	113.857317729	104.38	32.2993672387	666.25	54.4357112344
120	2015-12-01	25.53	114.954666193	106.07	32.5478239097	676.01	54.4455709901
121	2015-11-30	25.4	116.002584547	107.0899	31.5241824249	679.06	53.587772244
122	2015-11-27	25.75	117.00107279	104.34	31.1962196191	664.8	53.1736625045
123	2015-11-25	26.06	116.46722759	105.45	30.9378246812	673.26	52.9370283676
124	2015-11-24	25.52	116.684720079	105.41	30.9775777486	675.34	53.489174687
125	2015-11-23	25.2	117.525031966	105.74	30.7291210775	671.15	53.4300161528
126	2015-11-20	26.27	116.417797479	106.95	31.1962196191	678.99	53.4300161528
127	2015-11-19	26.32	117.940244899	107.32	30.9278864144	668.45	53.1835222602
128	2015-11-18	25.9	117.426171744	106.26	30.8384420128	661.27	53.0947844589
129	2015-11-17	25.23	115.953154436	107.77	30.100774994	663.54	52.227125957
130	2015-11-16	25.41	112.394186442	105.13	30.100774994	643.3	52.6531300784
131	2015-11-13	25.18	112.873658519	104.04	29.5066807507	647.81	51.7472592456
132	2015-11-12	26.13	111.059573445	103.95	30.100774994	642.35	52.2173327588
133	2015-11-11	26.5	114.40104895	108.0	30.209692272	665.6	52.5405082992
134	2015-11-10	27.05	114.796489838	109.01	30.5067393936	673.86	52.4034035245
135	2015-11-09	27.09	115.399537192	107.91	31.1008336369	659.68	53.039961407
136	2015-11-06	28.28	119.195769719	106.49	31.239455627	655.49	53.7842444695
137	2015-11-05	28.66	119.680184807	107.107	27.4372524699	659.37	53.2554117672
138	2015-11-04	29.36	119.541780496	108.76	27.754102733	655.65	53.2749981636
139	2015-11-03	29.13	120.093027178	103.9998	28.2194765569	640.95	53.0301682088
140	2015-11-02	29.2	120.654117551	102.58	28.4175079713	625.31	52.1389871733
141	2015-10-30	28.46	119.285844537	103.31	28.0907561375	628.35	51.5543332413
142	2015-10-29	29.06	117.63210449	102.0	27.4075477577	625.9	52.2565055516
143	2015-10-28	30.87	118.646004638	104.88	28.3878032592	626.55	52.8440974431
144	2015-10-27	31.34	117.415543294	104.2	28.1600671326	617.1	52.5796810919
145	2015-10-26	30.89	112.759477568	103.7	28.179870274	610.48	53.1281001907
146	2015-10-23	30.28	113.409161157	103.77	28.3085906934	608.61	51.9333300113
147	2015-10-22	29.15	117.218669479	102.19	28.110559279	599.03	47.0367309154
148	2015-10-21	29.3	113.665097117	99.67	27.1402053482	563.91	46.2238954654
149	2015-10-20	30.91	111.981825998	97.11	27.4966618942	555.77	46.7821077624
150	2015-10-19	30.91	112.00151338	97.0	27.5362681771	560.8101	46.6352097895
151	2015-10-16	31.15	109.983556776	98.51	27.5857760307	573.15	46.5274846094
152	2015-10-15	29.71	109.304342114	97.5395	27.1600084897	570.73	46.0378246998
153	2015-10-14	29.38	110.052462611	95.96	27.0906974946	562.36	45.7146491595
154	2015-10-13	29.06	108.487315781	94.07	26.1401467053	544.83	45.9203063215
155	2015-10-12	28.75	110.04261892	94.12	26.0906388517	548.9	46.0280315016
156	2015-10-09	30.85	109.855588796	94.26	25.8133948715	550.19	46.1357566817
157	2015-10-08	30.32	110.337929643	93.24	25.9124105787	539.8	46.4687254202
158	2015-10-07	29.83	107.788413738	92.47	25.7638870179	533.16	45.8125811414
159	2015-10-06	27.62	108.940125556	92.4	25.4965446084	541.66	45.7832015468
160	2015-10-05	28.15	109.570121764	92.8	25.1598912039	537.48	45.6460967721
161	2015-10-02	26.31	109.048406154	93.995	24.5558953899	543.68	44.6276041602
162	2015-10-01	24.68	108.654658524	92.07	23.9320964344	532.54	43.697250332
163	2015-09-30	26.94	107.857319573	90.95	24.3974702583	520.72	43.2859360079
164	2015-09-29	25.59	108.231379822	89.73	23.4667226105	511.67	42.5416529453
